state_code,county_code,County,Year,Population
47,065,Hamilton,1975,272600
47,065,Hamilton,1976,274300
47,065,Hamilton,1977,277800
47,065,Hamilton,1978,281300
47,065,Hamilton,1979,287100
47,065,Hamilton,1980,287643
47,065,Hamilton,1981,290711
47,065,Hamilton,1982,286595
47,065,Hamilton,1983,283020
47,065,Hamilton,1984,283540
47,065,Hamilton,1985,282614
47,065,Hamilton,1986,281817
47,065,Hamilton,1987,284994
47,065,Hamilton,1988,287310
47,065,Hamilton,1989,286839
47,065,Hamilton,1990,285919
47,065,Hamilton,1991,288705
47,065,Hamilton,1992,290924
47,065,Hamilton,1993,294816
47,065,Hamilton,1994,298033
47,065,Hamilton,1995,300389
47,065,Hamilton,1996,302709
47,065,Hamilton,1997,304909
47,065,Hamilton,1998,305616
47,065,Hamilton,1999,306915
47,065,Hamilton,2000,308547
47,065,Hamilton,2001,310254
47,065,Hamilton,2002,311890
47,065,Hamilton,2003,313079
47,065,Hamilton,2004,315396
47,065,Hamilton,2005,317901
47,065,Hamilton,2006,321350
47,065,Hamilton,2007,324784
47,065,Hamilton,2008,328711
47,065,Hamilton,2009,332659
47,065,Hamilton,2010,337214
47,065,Hamilton,2011,341094
47,065,Hamilton,2012,345693
47,065,Hamilton,2013,349050
47,065,Hamilton,2014,350729
47,065,Hamilton,2015,353690
47,065,Hamilton,2016,357778
47,065,Hamilton,2017,361032
47,065,Hamilton,2018,364293
47,065,Hamilton,2019,367804
47,065,Hamilton,2020,370594
